No.,F,Fm,PAR,Y(II),ETR,TAG,History,Treatment,Time Point,Experiment,Species ,Colony,,,,
3735,150,269,0,0.442,0,478,28,28,T2,3,,,,,,
3736,159,271,0,0.413,0,690,28,28,T2,3,,,,,,
3737,245,321,0,0.237,0,574,28,28,T2,3,,,,,,
3738,564,785,0,0.282,0,610,28,28,T2,3,,,,,,
3739,292,466,0,0.373,0,93,28,28,T2,3,,,,,,
3740,718,906,0,0.208,0,557,28,28,T2,3,,,,,,
3741,204,405,0,0.496,0,480,31,28,T2,3,,,,,,
3742,376,684,0,0.450,0,695,28,28,T2,3,,,,,,
3743,241,395,0,0.390,0,936,31,28,T2,3,,,,,,
3744,158,269,0,0.413,0,804,31,28,T2,3,,,,,,
3745,287,440,0,0.348,0,816,31,28,T2,3,,,,,,
3746,725,903,0,0.197,0,811,31,28,T2,3,,,,,,
3747,582,738,0,0.211,0,814,31,28,T2,3,,,,,,
3748,769,876,0,0.122,0,791,31,28,T2,3,,,,,,
3749,319,398,0,0.198,0,816,31,28,T2,3,,,,,,
3750,325,457,0,0.289,0,794,31,28,T2,3,,,,,,
3751,256,368,0,0.304,0,521,31,28,T2,3,,,,,,
3753,451,804,0,0.439,0,855,31,28,T2,3,,,,,,
3754,426,1138,0,0.626,0,756,31,28,T2,3,,,,,,
3755,615,1329,0,0.537,0,871,31,28,T2,3,,,,,,
3756,877,1333,0,0.342,0,352,31,28,T2,3,,,,,,
3757,836,1165,0,0.282,0,968,31,28,T2,3,,,,,,
3758,960,1364,0,0.296,0,769,31,28,T2,3,,,,,,
3759,836,1682,0,0.503,0,1031,31,28,T2,3,,,,,,
3760,499,1188,0,0.580,0,621,31,28,T2,3,,,,,,
3761,437,1085,0,0.597,0,680,31,28,T2,3,,,,,,
3762,327,914,0,0.642,0,929,31,28,T2,3,,,,,,
3763,727,1021,0,0.288,0,820,31,28,T2,3,,,,,,
3764,144,191,0,0.246,0,669,31,28,T2,3,,,,,,
3765,428,1061,0,0.597,0,485,28,28,T2,3,,,,,,
3766,285,722,0,0.605,0,210,28,28,T2,3,,,,,,
3767,327,913,0,0.642,0,946,31,28,T2,3,,,,,,
3768,531,1667,0,0.681,0,572,28,28,T2,3,,,,,,
3769,852,1450,0,0.412,0,542,28,28,T2,3,,,,,,
3770,543,882,0,0.384,0,486,28,28,T2,3,,,,,,
3771,661,1117,0,0.408,0,666,28,28,T2,3,,,,,,
3772,282,653,0,0.568,0,861,,28,T2,,,,,,,
3548,476,587,0,0.189,0,698,,,T2,BB/HR,,,,,,
3549,358,521,0,0.313,0,608,28,,T2,BB/HR,,,,,,
3550,234,334,0,0.299,0,927,28,,T2,BB/HR,,,,,,
3551,811,1283,0,0.368,0,939,31,,T2,BB/HR,,,,,,
3552,742,1038,0,0.285,0,40,31,,T2,BB/HR,,,,,,
3553,572,816,0,0.299,0,206,28,,T2,BB/HR,,,,,,
3554,592,967,0,0.388,0,944,28,,T2,BB/HR,,,,,,
3555,442,836,0,0.471,0,585,28,,T2,BB/HR,,,,,,
3556,318,382,0,0.168,0,914,28,,T2,BB/HR,,,,,,
3557,510,622,0,0.180,0,205,31,,T2,BB/HR,,,,,,
3558,379,618,0,0.387,0,176,31,,T2,BB/HR,,,,,,
3559,134,198,0,0.323,0,984,31,,T2,BB/HR,,,,,,
3560,479,894,0,0.464,0,568,31,,T2,BB/HR,,,,,,
3561,604,1108,0,0.455,0,819,,,T2,BB/HR,,,,,,
3562,533,900,0,0.408,0,,,,T2,BB/HR,,,,,,
3563,129,204,0,0.368,0,668,31,,T2,BB/HR,,,,,,
3564,521,776,0,0.329,0,491,31,,T2,BB/HR,,,,,,
3565,702,843,0,0.167,0,780,28,,T2,BB/HR,,,,,,
3566,523,672,0,0.222,0,719,31,,T2,BB/HR,,,,,,
3567,522,673,0,0.224,0,940,31,,T2,BB/HR,,,,,,
3568,708,851,0,0.168,0,382,28,,T2,BB/HR,,,,,,
3569,635,869,0,0.269,0,68,,,T2,BB/HR,,,,,,
3570,465,532,0,0.126,0,220,28,,T2,BB/HR,,,,,,
3571,809,1193,0,0.322,0,609,31,,T2,BB/HR,,,,,,
3572,470,940,0,0.500,0,582,31,,T2,BB/HR,,,,,,
3573,344,483,0,0.288,0,592,31,,T2,BB/HR,,,,,,
3574,554,796,0,0.304,0,896,28,,T2,BB/HR,,,,,,
3575,211,364,0,0.420,0,307,31,,T2,BB/HR,,,,,,
3576,574,1183,0,0.515,0,808,28,,T2,BB/HR,,,,,,
3577,289,390,0,0.259,0,418,31,,T2,BB/HR,,,,,,
3578,534,579,0,0.078,0,216,31,,T2,BB/HR,,,,,,
3579,520,709,0,0.267,0,218,31,,T2,BB/HR,,,,,,
3580,553,717,0,0.229,0,677,28,,T2,BB/HR,,,,,,
3581,421,853,0,0.506,0,330,31,,T2,BB/HR,,,,,,
3582,744,1179,0,0.369,0,702,28,,T2,BB/HR,,,,,,
3583,821,1026,0,0.200,0,231,31,,T2,BB/HR,,,,,,
3584,641,1109,0,0.422,0,628,31,,T2,BB/HR,,,,,,
