date,experiment,run,run.total,colony.id,species,site,timepoint,history,treatment,tank,chamber,channel,coral.vol,light.start,light.stop,light.temp,dark.start,dark.stop,dark.temp,light.level,surface.area,Notes,chamber.vol,Notes
20230919,three-spp,5,9,PAST-C0574,PAST,BB,Initial,Ambient,Heated,5,1,1,23.5,15:29:00,15:49:00,30,15:51:00,16:11:00,30,NA,18.853,NA,616.5,
20230919,three-spp,5,9,PAST-F0638,PAST,BB,Initial,Ambient,NA,5,2,2,13.5,15:29:00,15:49:00,30,15:51:00,16:11:00,30,NA,11.942,NA,626.5,
20230919,three-spp,5,9,PAST-C0594,PAST,BB,Initial,Ambient,Heated,5,3,3,17.5,15:29:00,15:49:00,30,15:51:00,16:11:00,30,NA,16.344,NA,622.5,
20230919,three-spp,5,9,PAST-C0768,PAST,BB,Initial,Ambient,NA,5,4,4,25,15:29:00,15:49:00,30,15:51:00,16:11:00,30,NA,19.65,NA,615,
20230919,three-spp,5,9,BLNK-BL009,NA,NA,Initial,NA,NA,5,5,5,0,15:29:00,15:49:00,30,15:51:00,16:11:00,30,NA,NA,NA,640,
20230919,three-spp,5,9,PAST-C0962,PAST,BB,Initial,Heated,Ambient,5,6,6,17,15:29:00,15:49:00,30,15:51:00,16:11:00,30,NA,12.669,NA,623,Noticeable tissue death
20230919,three-spp,5,9,PAST-F0187,PAST,BB,Initial,Ambient,NA,5,7,7,11.5,15:29:00,15:49:00,30,15:51:00,16:11:00,30,NA,8.217,NA,628.5,
20230919,three-spp,5,9,PAST-C0890,PAST,BB,Initial,Heated,Heated,5,8,8,29,15:29:00,15:49:00,30,15:51:00,16:11:00,30,NA,13.659,NA,611,
20230919,three-spp,5,9,PAST-E0486,PAST,BB,Initial,Ambient,Ambient,5,9,9,33,15:29:00,15:49:00,30,15:51:00,16:11:00,30,NA,20.053,NA,607,
20230919,three-spp,5,9,PAST-C0536,PAST,BB,Initial,Ambient,Ambient,5,10,10,24,15:29:00,15:49:00,30,15:51:00,16:11:00,30,NA,17.147,NA,616,
20230919,three-spp,5,9,PAST-A0352,PAST,BB,Initial,Heated,Ambient,5,11,11,7,15:29:00,15:49:00,30,15:51:00,16:11:00,30,NA,8.248,NA,633,
20230919,three-spp,5,9,PAST-F0817,PAST,BB,Initial,Heated,Heated,5,12,12,6.5,15:29:00,15:49:00,30,15:51:00,16:11:00,30,NA,11.201,NA,633.5,
