Site Name ,ODYLIGHT002
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,15889


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

546,02/08/2023 , 02:54:10,0,0
547,02/08/2023 , 03:09:10,0,0
548,02/08/2023 , 03:24:10,0,0
549,02/08/2023 , 03:39:10,0,0
550,02/08/2023 , 03:54:10,0,0
551,02/08/2023 , 04:09:10,0,0
552,02/08/2023 , 04:24:10,0,0
553,02/08/2023 , 04:39:10,0,0
554,02/08/2023 , 04:54:10,0,0
555,02/08/2023 , 05:09:10,0,0
556,02/08/2023 , 05:24:10,0,0
557,02/08/2023 , 05:39:10,0,0
558,02/08/2023 , 05:54:10,0,0
559,02/08/2023 , 06:09:10,0,0
560,02/08/2023 , 06:24:10,0,0
561,02/08/2023 , 06:39:10,17,14
562,02/08/2023 , 06:54:10,136,112.3
563,02/08/2023 , 07:09:10,633,522.6
564,02/08/2023 , 07:24:10,672,554.8
565,02/08/2023 , 07:39:10,66,54.5
566,02/08/2023 , 07:54:10,182,150.3
567,02/08/2023 , 08:09:10,203,167.6
568,02/08/2023 , 08:24:10,420,346.7
569,02/08/2023 , 08:39:10,695,573.8
570,02/08/2023 , 08:54:10,1718,1418.3
571,02/08/2023 , 09:09:10,1871,1544.6
572,02/08/2023 , 09:24:10,1208,997.3
573,02/08/2023 , 09:39:10,642,530
574,02/08/2023 , 09:54:10,190,156.9
575,02/08/2023 , 10:09:10,605,499.5
576,02/08/2023 , 10:24:10,1043,861.1
577,02/08/2023 , 10:39:10,1400,1155.8
578,02/08/2023 , 10:54:10,1403,1158.3
579,02/08/2023 , 11:09:10,1790,1477.7
580,02/08/2023 , 11:24:10,2535,2092.8
581,02/08/2023 , 11:39:10,3683,3040.5
582,02/08/2023 , 11:54:10,6061,5003.7
583,02/08/2023 , 12:09:10,4400,3632.5
584,02/08/2023 , 12:24:10,4377,3613.5
585,02/08/2023 , 12:39:10,4011,3311.3
586,02/08/2023 , 12:54:10,4320,3566.4
587,02/08/2023 , 13:09:10,4105,3388.9
588,02/08/2023 , 13:24:10,2727,2251.3
589,02/08/2023 , 13:39:10,2778,2293.4
