Site Name ,ODYLIGHT003
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,15888


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

499,06/08/2023 , 20:45:00,0,0
500,06/08/2023 , 21:00:00,0,0
501,06/08/2023 , 21:15:00,0,0
502,06/08/2023 , 21:30:00,0,0
503,06/08/2023 , 21:45:00,0,0
504,06/08/2023 , 22:00:00,0,0
505,06/08/2023 , 22:15:00,0,0
506,06/08/2023 , 22:30:00,0,0
507,06/08/2023 , 22:45:00,0,0
508,06/08/2023 , 23:00:00,0,0
509,06/08/2023 , 23:15:00,0,0
510,06/08/2023 , 23:30:00,0,0
511,06/08/2023 , 23:45:00,0,0
512,06/08/2023 , 24:00:00,0,0
513,07/08/2023 , 00:15:00,0,0
514,07/08/2023 , 00:30:00,0,0
515,07/08/2023 , 00:45:00,0,0
516,07/08/2023 , 01:00:00,0,0
517,07/08/2023 , 01:15:00,0,0
518,07/08/2023 , 01:30:00,0,0
519,07/08/2023 , 01:45:00,0,0
520,07/08/2023 , 02:00:00,0,0
521,07/08/2023 , 02:15:00,0,0
522,07/08/2023 , 02:30:00,0,0
523,07/08/2023 , 02:45:00,0,0
524,07/08/2023 , 03:00:00,0,0
525,07/08/2023 , 03:15:00,0,0
526,07/08/2023 , 03:30:00,0,0
527,07/08/2023 , 03:45:00,0,0
528,07/08/2023 , 04:00:00,0,0
529,07/08/2023 , 04:15:00,0,0
530,07/08/2023 , 04:30:00,0,0
531,07/08/2023 , 04:45:00,0,0
532,07/08/2023 , 05:00:00,0,0
533,07/08/2023 , 05:15:00,0,0
534,07/08/2023 , 05:30:00,0,0
535,07/08/2023 , 05:45:00,0,0
536,07/08/2023 , 06:00:00,0,0
537,07/08/2023 , 06:15:00,0,0
538,07/08/2023 , 06:30:00,4,3.2
539,07/08/2023 , 06:45:00,55,43.6
540,07/08/2023 , 07:00:00,187,148.1
541,07/08/2023 , 07:15:00,288,228
542,07/08/2023 , 07:30:00,426,337.3
543,07/08/2023 , 07:45:00,760,601.8
544,07/08/2023 , 08:00:00,1190,942.3
545,07/08/2023 , 08:15:00,1693,1340.6
546,07/08/2023 , 08:30:00,2545,2015.2
547,07/08/2023 , 08:45:00,2533,2005.7
548,07/08/2023 , 09:00:00,3623,2868.8
549,07/08/2023 , 09:15:00,6063,4800.9
550,07/08/2023 , 09:30:00,5480,4339.2
551,07/08/2023 , 09:45:00,8287,6561.9
552,07/08/2023 , 10:00:00,7899,6254.7
553,07/08/2023 , 10:15:00,8615,6821.6
554,07/08/2023 , 10:30:00,11819,9358.6
555,07/08/2023 , 10:45:00,11029,8733.1
556,07/08/2023 , 11:00:00,10546,8350.6
557,07/08/2023 , 11:15:00,11019,8725.2
558,07/08/2023 , 11:30:00,5784,4579.9
559,07/08/2023 , 11:45:00,10806,8556.5
560,07/08/2023 , 12:00:00,10760,8520.1
561,07/08/2023 , 12:15:00,12140,9612.8
562,07/08/2023 , 12:30:00,11590,9177.3
563,07/08/2023 , 12:45:00,13247,10489.4
564,07/08/2023 , 13:00:00,16394,12981.2
565,07/08/2023 , 13:15:00,15854,12553.7
566,07/08/2023 , 13:30:00,15813,12521.2
567,07/08/2023 , 13:45:00,15888,12580.6
568,07/08/2023 , 14:00:00,15721,12448.3
569,07/08/2023 , 14:15:00,15881,12575
570,07/08/2023 , 14:30:00,15618,12366.8
571,07/08/2023 , 14:45:00,15525,12293.1
572,07/08/2023 , 15:00:00,15025,11897.2
573,07/08/2023 , 15:15:00,11080,8773.5
574,07/08/2023 , 15:30:00,10581,8378.3
575,07/08/2023 , 15:45:00,9410,7451.1
576,07/08/2023 , 16:00:00,7753,6139
577,07/08/2023 , 16:15:00,8657,6854.9
578,07/08/2023 , 16:30:00,8479,6713.9
579,07/08/2023 , 16:45:00,7002,5544.4
580,07/08/2023 , 17:00:00,5800,4592.6
581,07/08/2023 , 17:15:00,4625,3662.2
582,07/08/2023 , 17:30:00,4347,3442.1
583,07/08/2023 , 17:45:00,3869,3063.6
584,07/08/2023 , 18:00:00,3886,3077
585,07/08/2023 , 18:15:00,3511,2780.1
586,07/08/2023 , 18:30:00,4887,3869.7
587,07/08/2023 , 18:45:00,3848,3047
588,07/08/2023 , 19:00:00,2587,2048.5
589,07/08/2023 , 19:15:00,1549,1226.5
590,07/08/2023 , 19:30:00,744,589.1
591,07/08/2023 , 19:45:00,410,324.6
592,07/08/2023 , 20:00:00,205,162.3
593,07/08/2023 , 20:15:00,65,51.5
