"Plot Title: HOBO20"
"#","Date Time, GMT-03:00","Temp, °C (LGR S/N: 1058720, SEN S/N: 1058720)","Intensity, Lux (LGR S/N: 1058720, SEN S/N: 1058720)","Host Connected (LGR S/N: 1058720)","Coupler Attached (LGR S/N: 1058720)","Coupler Detached (LGR S/N: 1058720)","End Of File (LGR S/N: 1058720)"
219,07/12/23 06:00:00 AM,27.665,0.0,,,,
220,07/12/23 06:05:00 AM,27.665,0.0,,,,
221,07/12/23 06:10:00 AM,27.665,32.3,,,,
222,07/12/23 06:15:00 AM,27.665,193.8,,,,
223,07/12/23 06:20:00 AM,27.665,258.3,,,,
224,07/12/23 06:25:00 AM,27.665,355.2,,,,
225,07/12/23 06:30:00 AM,27.665,516.7,,,,
226,07/12/23 06:35:00 AM,27.665,775.0,,,,
227,07/12/23 06:40:00 AM,27.665,710.4,,,,
228,07/12/23 06:45:00 AM,27.665,1044.1,,,,
229,07/12/23 06:50:00 AM,27.665,1237.9,,,,
230,07/12/23 06:55:00 AM,27.665,1237.9,,,,
231,07/12/23 07:00:00 AM,27.764,1636.1,,,,
232,07/12/23 07:05:00 AM,27.764,1980.6,,,,
233,07/12/23 07:10:00 AM,27.764,2152.8,,,,
234,07/12/23 07:15:00 AM,27.764,2583.4,,,,
235,07/12/23 07:20:00 AM,27.764,4133.4,,,,
236,07/12/23 07:25:00 AM,27.862,2755.6,,,,
237,07/12/23 07:30:00 AM,27.862,6200.0,,,,
238,07/12/23 07:35:00 AM,27.862,2755.6,,,,
239,07/12/23 07:40:00 AM,27.862,3616.7,,,,
240,07/12/23 07:45:00 AM,27.862,4133.4,,,,
241,07/12/23 07:50:00 AM,27.862,4133.4,,,,
242,07/12/23 07:55:00 AM,27.862,4650.0,,,,
243,07/12/23 08:00:00 AM,27.961,3961.1,,,,
244,07/12/23 08:05:00 AM,28.060,10333.4,,,,
245,07/12/23 08:10:00 AM,28.060,9644.5,,,,
246,07/12/23 08:15:00 AM,28.060,9300.1,,,,
247,07/12/23 08:20:00 AM,28.060,10333.4,,,,
248,07/12/23 08:25:00 AM,28.258,16533.4,,,,
249,07/12/23 08:30:00 AM,28.159,7233.4,,,,
250,07/12/23 08:35:00 AM,28.357,13777.9,,,,
251,07/12/23 08:40:00 AM,28.357,22044.6,,,,
252,07/12/23 08:45:00 AM,28.456,21355.7,,,,
253,07/12/23 08:50:00 AM,28.555,10333.4,,,,
254,07/12/23 08:55:00 AM,28.456,13089.0,,,,
255,07/12/23 09:00:00 AM,28.357,11711.2,,,,
256,07/12/23 09:05:00 AM,28.655,33066.9,,,,
